"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"121","2024-04-01",746170,90.6,2210,6.42,2.05299,-0.698,0.309,0.276,87.9,38.4615384615385,0,"Los Angeles Dodgers","San Francisco Giants",8,3,97
"122","2024-04-01",746170,89.2,2081,6.15,2.4598,-1.172,0.352,0.332,94.7,60.8695652173913,5.71428571428571,"Los Angeles Dodgers","San Francisco Giants",8,3,97
"123","2024-04-01",745842,89.8,2255,6.24,2.41434,3.738,0.199,0.26,88.7,30.7692307692308,2.63157894736842,"New York Mets","Detroit Tigers",0,5,98
"124","2024-04-01",745842,89.9,2081,7.14,2.2278,2.016,0.202,0.309,86.9,33.3333333333333,10.8108108108108,"New York Mets","Detroit Tigers",0,5,98
"125","2024-04-01",745109,87.5,2402,6.75,2.27061,-1.754,0.365,0.365,87.3,36.6666666666667,4.76190476190476,"Tampa Bay Rays","Texas Rangers",3,9,100
"126","2024-04-01",745109,88.1,2243,7.15,2.49371,-1.08,0.334,0.398,96.8,72.2222222222222,10.8108108108108,"Tampa Bay Rays","Texas Rangers",3,9,100
"127","2024-04-01",747218,93.2,2366,6.33,1.63475,2.112,0.218,0.246,87.8,32,2.7027027027027,"Arizona Diamondbacks","New York Yankees",2,5,104
"128","2024-04-01",747218,88.9,2308,6.77,2.26863,0.697,0.298,0.331,86.9,36.6666666666667,0,"Arizona Diamondbacks","New York Yankees",2,5,104
"129","2024-04-01",745277,86.3,2068,6.87,2.36253,-1.058,0.319,0.383,90.3,47.6190476190476,5.55555555555556,"Seattle Mariners","Cleveland Guardians",5,4,89
"130","2024-04-01",745277,91.4,2152,6.39,2.05455,0.859,0.271,0.395,88.6,35.7142857142857,8.33333333333333,"Seattle Mariners","Cleveland Guardians",5,4,89
"131","2024-04-01",747058,88.6,2225,6.38,2.44493,-2.022,0.269,0.3,89.1,37.037037037037,5.4054054054054,"Baltimore Orioles","Kansas City Royals",6,4,98
"132","2024-04-01",747058,86.3,2133,6.58,2.67476,0.11,0.324,0.358,90.4,51.8518518518518,8.57142857142857,"Baltimore Orioles","Kansas City Royals",6,4,98
"133","2024-04-01",746899,89.4,2128,6.59,2.21781,0.919,0.286,0.342,92.6,42.8571428571428,0,"Chicago Cubs","Colorado Rockies",5,0,87
"134","2024-04-01",746899,89.1,2047,6.41,1.8793,5.327,0.104,0.252,92,50,6.25,"Chicago Cubs","Colorado Rockies",5,0,87
"135","2024-04-01",746409,84,2333,6.53,2.8373,-7.452,0.506,0.348,86.8,48.1481481481482,10.5263157894737,"Houston Astros","Toronto Blue Jays",10,0,102
